Year,State,Vaccine,Coverage
2018,RO,Febre Amarela,89.69
2019,RO,Febre Amarela,81.42
2020,RO,Febre Amarela,72.26
2021,RO,Febre Amarela,68.41
2022,RO,Febre Amarela,69.9
2018,AC,Febre Amarela,66.74
2019,AC,Febre Amarela,68.69
2020,AC,Febre Amarela,49.45
2021,AC,Febre Amarela,48.92
2022,AC,Febre Amarela,54.32
2018,AM,Febre Amarela,69.88
2019,AM,Febre Amarela,74.1
2020,AM,Febre Amarela,60.26
2021,AM,Febre Amarela,54.86
2022,AM,Febre Amarela,62.21
2018,RR,Febre Amarela,72.72
2019,RR,Febre Amarela,69.77
2020,RR,Febre Amarela,50.93
2021,RR,Febre Amarela,38.97
2022,RR,Febre Amarela,44.56
2018,PA,Febre Amarela,63.11
2019,PA,Febre Amarela,62.6
2020,PA,Febre Amarela,49.46
2021,PA,Febre Amarela,46.55
2022,PA,Febre Amarela,50.31
2018,AP,Febre Amarela,65.56
2019,AP,Febre Amarela,66.99
2020,AP,Febre Amarela,37.41
2021,AP,Febre Amarela,38.35
2022,AP,Febre Amarela,44.43
2018,TO,Febre Amarela,81.08
2019,TO,Febre Amarela,76.47
2020,TO,Febre Amarela,71.63
2021,TO,Febre Amarela,69.53
2022,TO,Febre Amarela,69.66
2018,MA,Febre Amarela,72.36
2019,MA,Febre Amarela,66.75
2020,MA,Febre Amarela,51.82
2021,MA,Febre Amarela,51.61
2022,MA,Febre Amarela,58.73
2018,PI,Febre Amarela,76.92
2019,PI,Febre Amarela,73.4
2020,PI,Febre Amarela,63.57
2021,PI,Febre Amarela,61.69
2022,PI,Febre Amarela,71.17
2018,CE,Febre Amarela,1.12
2019,CE,Febre Amarela,0.78
2020,CE,Febre Amarela,9.83
2021,CE,Febre Amarela,26.24
2022,CE,Febre Amarela,52.11
2018,RN,Febre Amarela,0.8
2019,RN,Febre Amarela,0.65
2020,RN,Febre Amarela,3.04
2021,RN,Febre Amarela,9.22
2022,RN,Febre Amarela,22.48
2018,PB,Febre Amarela,1.07
2019,PB,Febre Amarela,1.16
2020,PB,Febre Amarela,13.62
2021,PB,Febre Amarela,47.42
2022,PB,Febre Amarela,51.32
2018,PE,Febre Amarela,1.12
2019,PE,Febre Amarela,1.15
2020,PE,Febre Amarela,27.85
2021,PE,Febre Amarela,47.84
2022,PE,Febre Amarela,52.63
2018,AL,Febre Amarela,3.11
2019,AL,Febre Amarela,2.78
2020,AL,Febre Amarela,8.91
2021,AL,Febre Amarela,43.4
2022,AL,Febre Amarela,55.3
2018,SE,Febre Amarela,1.19
2019,SE,Febre Amarela,1.22
2020,SE,Febre Amarela,0.94
2021,SE,Febre Amarela,2.0
2022,SE,Febre Amarela,20.08
2018,BA,Febre Amarela,69.14
2019,BA,Febre Amarela,66.44
2020,BA,Febre Amarela,62.19
2021,BA,Febre Amarela,54.31
2022,BA,Febre Amarela,60.73
2018,MG,Febre Amarela,94.19
2019,MG,Febre Amarela,85.71
2020,MG,Febre Amarela,80.97
2021,MG,Febre Amarela,74.59
2022,MG,Febre Amarela,75.06
2018,ES,Febre Amarela,73.87
2019,ES,Febre Amarela,70.89
2020,ES,Febre Amarela,64.74
2021,ES,Febre Amarela,67.29
2022,ES,Febre Amarela,64.33
2018,RJ,Febre Amarela,49.26
2019,RJ,Febre Amarela,55.21
2020,RJ,Febre Amarela,41.19
2021,RJ,Febre Amarela,45.24
2022,RJ,Febre Amarela,43.21
2018,SP,Febre Amarela,60.18
2019,SP,Febre Amarela,72.3
2020,SP,Febre Amarela,69.26
2021,SP,Febre Amarela,65.96
2022,SP,Febre Amarela,64.42
2018,PR,Febre Amarela,75.96
2019,PR,Febre Amarela,83.19
2020,PR,Febre Amarela,76.32
2021,PR,Febre Amarela,74.07
2022,PR,Febre Amarela,74.44
2018,SC,Febre Amarela,59.63
2019,SC,Febre Amarela,84.43
2020,SC,Febre Amarela,77.73
2021,SC,Febre Amarela,74.92
2022,SC,Febre Amarela,72.29
2018,RS,Febre Amarela,58.65
2019,RS,Febre Amarela,63.72
2020,RS,Febre Amarela,60.99
2021,RS,Febre Amarela,61.05
2022,RS,Febre Amarela,58.08
2018,MS,Febre Amarela,90.15
2019,MS,Febre Amarela,88.88
2020,MS,Febre Amarela,67.51
2021,MS,Febre Amarela,67.6
2022,MS,Febre Amarela,71.36
2018,MT,Febre Amarela,84.65
2019,MT,Febre Amarela,75.92
2020,MT,Febre Amarela,71.35
2021,MT,Febre Amarela,66.12
2022,MT,Febre Amarela,70.69
2018,GO,Febre Amarela,78.68
2019,GO,Febre Amarela,73.43
2020,GO,Febre Amarela,66.39
2021,GO,Febre Amarela,66.0
2022,GO,Febre Amarela,63.68
2018,DF,Febre Amarela,83.59
2019,DF,Febre Amarela,79.19
2020,DF,Febre Amarela,74.46
2021,DF,Febre Amarela,70.99
2022,DF,Febre Amarela,71.91
2018,RO,Poliomielite,101.89
2019,RO,Poliomielite,98.26
2020,RO,Poliomielite,82.51
2021,RO,Poliomielite,74.58
2022,RO,Poliomielite,82.3
2018,AC,Poliomielite,78.34
2019,AC,Poliomielite,81.73
2020,AC,Poliomielite,63.08
2021,AC,Poliomielite,61.78
2022,AC,Poliomielite,71.95
2018,AM,Poliomielite,79.25
2019,AM,Poliomielite,83.29
2020,AM,Poliomielite,68.17
2021,AM,Poliomielite,67.77
2022,AM,Poliomielite,77.51
2018,RR,Poliomielite,79.79
2019,RR,Poliomielite,79.76
2020,RR,Poliomielite,73.67
2021,RR,Poliomielite,50.96
2022,RR,Poliomielite,60.13
2018,PA,Poliomielite,69.09
2019,PA,Poliomielite,72.72
2020,PA,Poliomielite,59.78
2021,PA,Poliomielite,56.78
2022,PA,Poliomielite,66.09
2018,AP,Poliomielite,68.74
2019,AP,Poliomielite,73.01
2020,AP,Poliomielite,42.68
2021,AP,Poliomielite,45.37
2022,AP,Poliomielite,52.87
2018,TO,Poliomielite,91.68
2019,TO,Poliomielite,88.17
2020,TO,Poliomielite,84.42
2021,TO,Poliomielite,80.22
2022,TO,Poliomielite,85.42
2018,MA,Poliomielite,80.61
2019,MA,Poliomielite,75.73
2020,MA,Poliomielite,60.91
2021,MA,Poliomielite,61.97
2022,MA,Poliomielite,74.37
2018,PI,Poliomielite,83.71
2019,PI,Poliomielite,81.85
